DesignID,PorbeTypeID,ManufactureID,PackageID,N2TProductID,DesignName,DesignTypeID,NumShank,NumChannel,NumSitePerShank,SiteArea,ShankSpace,ShankHeight,ShankWidth,DisplaySiteSize,DisplaySiteSpacing,ShankStartingXLocation,ShankStartingYLocation,DisplaySiteFontSize,TextBoxWidth,TextBoxPhaseWidth,FirstChannelYSpacing,TextBoxHeight,TetrodeOffsetUp,TetrodeOffsetRight,TetrodeOffsetLeft,TrueShankLength,TrueSiteSpacing,OtherParameters
1,1,1,142,3167, A16x1-3mm-100-125-413-HC16_21mm,3,16,16,1,413,35,500,50,30,8,50,100,8.25,30,30,80,15,5,3,5,3,100,
2,1,1,160,3168, A16x1-3mm-100-125-413-HP16_21mm,3,16,16,1,413,35,500,50,30,8,50,100,8.25,30,30,80,15,5,3,5,3,100,
3,1,1,144,3171, A16x1-3mm-100-125-413-MRCM16,3,16,16,1,413,35,500,50,30,8,50,100,8.25,30,30,80,15,5,3,5,3,100,
4,1,1,139,3164, A16x1-3mm-100-125-413-Z16,3,16,16,1,413,35,500,50,30,8,50,100,8.25,30,30,80,15,5,3,5,3,100,
5,1,1,136,3172, A16x1-3mm-100-125-703-A16,3,16,16,1,703,35,500,50,30,8,50,100,8.25,30,30,80,15,5,3,5,3,100,
6,1,1,146,3179, A16x1-3mm-100-125-703-C16,3,16,16,1,703,35,500,50,30,8,50,100,8.25,30,30,80,15,5,3,5,3,100,
7,1,1,137,3173, A16x1-3mm-100-125-703-CM16,3,16,16,1,703,35,500,50,30,8,50,100,8.25,30,30,80,15,5,3,5,3,100,
8,1,1,153,3175, A16x1-3mm-100-125-703-CM16LP,3,16,16,1,703,35,500,50,30,8,50,100,8.25,30,30,80,15,5,3,5,3,100,
9,1,1,140,3176, A16x1-3mm-100-125-703-H16_21mm,3,16,16,1,703,35,500,50,30,8,50,100,8.25,30,30,80,15,5,3,5,3,100,
10,1,1,142,3177, A16x1-3mm-100-125-703-HC16_21mm,3,16,16,1,703,35,500,50,30,8,50,100,8.25,30,30,80,15,5,3,5,3,100,
11,1,1,160,3178, A16x1-3mm-100-125-703-HP16_21mm,3,16,16,1,703,35,500,50,30,8,50,100,8.25,30,30,80,15,5,3,5,3,100,
12,1,1,144,3181, A16x1-3mm-100-125-703-MRCM16,3,16,16,1,703,35,500,50,30,8,50,100,8.25,30,30,80,15,5,3,5,3,100,
13,1,1,139,3174, A16x1-3mm-100-125-703-Z16,3,16,16,1,703,35,500,50,30,8,50,100,8.25,30,30,80,15,5,3,5,3,100,
14,1,1,1,1741, A1x16-10mm-100-177-A16,3,1,16,16,177,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
15,1,1,17,441, A1x16-10mm-100-177-C16,3,1,16,16,177,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
16,1,1,5,434, A1x16-10mm-100-177-CM16,3,1,16,16,177,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
17,1,1,78,1749, A1x16-10mm-100-177-D16,3,1,16,16,177,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
18,1,1,82,1750, A1x16-10mm-100-177-DM16,3,1,16,16,177,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
19,1,1,9,435, A1x16-10mm-100-177-F16,3,1,16,16,177,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
20,1,1,54,1744, A1x16-10mm-100-177-H16_21mm,3,1,16,16,177,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
21,1,1,58,3638, A1x16-10mm-100-177-HC16_21mm,3,1,16,16,177,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
22,1,1,62,1746, A1x16-10mm-100-177-HP16_21mm,3,1,16,16,177,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
23,1,1,66,3218, A1x16-10mm-100-177-HZ16_21mm,3,1,16,16,177,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
24,1,1,74,3489, A1x16-10mm-100-177-MRCM16,3,1,16,16,177,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
25,1,1,86,3490, A1x16-10mm-100-177-Op16,3,1,16,16,177,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
26,1,1,13,1742, A1x16-10mm-100-177-Z16,3,1,16,16,177,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
27,1,1,1,1751, A1x16-10mm-100-413-A16,3,1,16,16,413,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
28,1,1,5,1752, A1x16-10mm-100-413-CM16,3,1,16,16,413,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
29,1,1,5,3476, A1x16-10mm-100-413-CM16LP,3,1,16,16,413,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
30,1,1,78,3471, A1x16-10mm-100-413-D16,3,1,16,16,413,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
31,1,1,82,1763, A1x16-10mm-100-413-DM16,3,1,16,16,413,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
32,1,1,54,3477, A1x16-10mm-100-413-H16_21mm,3,1,16,16,413,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
33,1,1,58,3478, A1x16-10mm-100-413-HC16_21mm,3,1,16,16,413,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
34,1,1,62,3479, A1x16-10mm-100-413-HP16_21mm,3,1,16,16,413,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
35,1,1,66,3480, A1x16-10mm-100-413-HZ16_21mm,3,1,16,16,413,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
36,1,1,74,1761, A1x16-10mm-100-413-MRCM16,3,1,16,16,413,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
37,1,1,86,3481, A1x16-10mm-100-413-Op16,3,1,16,16,413,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
38,1,1,13,3482, A1x16-10mm-100-413-Z16,3,1,16,16,413,35,720,50,30,8,50,100,8.25,30,30,80,15,5,3,5,10,100,
